INSTNM,STABBR,CONTROL,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,UGDS,PCTFLOAN,MD_EARN_WNE_P10,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,NPT4,RPY_3YR_70
University of South Florida-Main Campus,FL,public,575,585,555,26,26,25,8,30279,0.4781,41000,19500,0.5623737766,10027,0
The University of Tampa,FL,private,535,540,530,25,24,24,8,6811,0.6224,43900,26000,0.669828365,26863,0
Trinity Baptist College,FL,private,454,458,437,19,17,19,8,352,0.8054,28100,16343,0.5,11703,0
The University of West Florida,FL,public,520,505,495,24,23,22,7,9794,0.4655,35800,18750,0.5321657124,11227,0
Columbus State University,GA,public,495,485,480,21,21,20,8,6715,0.5948,35000,25039,0.3654202147,11129,0
Covenant College,GA,private,600,565,590,26,28,25,7,1066,0.5471,39600,21441,0.7779632721,21715,1
Emory University,GA,private,670,700,690,31,30,31,9,7730,0.3683,59400,19000,0.8076664425,28901,1
Georgia Institute of Technology-Main Campus,GA,public,675,725,680,32,32,32,9,13996,0.3372,74500,24250,0.8474576271,10994,1
Georgia Southern University,GA,public,555,550,525,24,23,23,7,17232,0.6236,39500,22500,0.5160510873,16552,0
University of Georgia,GA,public,615,620,615,28,29,27,8,26738,0.4011,47300,19000,0.6624867538,12208,0
Savannah College of Art and Design,GA,private,545,520,520,24,25,22,8,8846,0.5142,35100,27000,0.5653666147,37132,0
Shorter University,GA,private,480,473,455,20,20,20,7,1449,0.671,43600,29000,0.3836317136,19316,0
University of Hawaii at Manoa,HI,public,530,555,520,23,23,23,8,13667,0.3746,43000,19000,0.7017687075,11415,1
Boise Bible College,ID,private,520,480,495,21,21,20,7,172,0.6576,25500,19596,0.6055045872,19878,0
Boise State University,ID,public,510,515,495,23,23,23,8,16206,0.4669,35600,23500,0.5227365834,15897,0
Bradley University,IL,private,550,585,530,26,26,26,8,4585,0.6966,51400,27000,0.7672955975,26096,1
Greenville College,IL,private,489,495,465,23,23,22,7,1055,0.7626,36200,21500,0.6515930113,19268,0
University of Illinois at Urbana-Champaign,IL,public,640,745,645,29,30,30,9,31875,0.3893,56600,20500,0.7778202677,18375,1
Loyola University Chicago,IL,private,575,580,570,27,28,26,9,10042,0.6092,50700,25000,0.7610993658,29899,1
Millikin University,IL,private,500,500,470,23,23,22,8,2082,0.7603,42000,27000,0.6695721078,18388,0
Northern Illinois University,IL,public,500,530,490,22,22,22,7,15391,0.6685,43800,23347,0.6404019641,18899,0
University of Illinois at Springfield,IL,public,455,545,465,24,23,22,7,2969,0.5406,42600,19500,0.6062992126,9544,0
Wheaton College,IL,private,655,645,650,30,31,29,9,2402,0.4926,42500,22500,0.912979351,23900,1
Butler University,IN,private,580,590,565,27,28,27,9,4013,0.5742,55000,27000,0.8406951484,30814,1
Franklin College,IN,private,505,515,490,23,22,23,7,1022,0.7722,40800,27000,0.7731397459,21553,1
Indiana University-Purdue University-Indianapolis,IN,public,495,505,480,22,22,22,7,21777,0.5126,40200,24147.5,0.5322338831,13007,0
Indiana State University,IN,public,460,455,435,19,19,20,7,10497,0.6253,36000,23713,0.5204469805,11920,0
Indiana University-Kokomo,IN,public,465,470,445,20,18,20,7,2724,0.3552,34100,19052,0.4728915663,9989,0
Indiana University-South Bend,IN,public,470,470,450,20,20,20,7,5398,0.3827,33400,25537,0.4703896901,10377,0
Indiana University-Bloomington,IN,public,575,600,565,27,28,27,8,32252,0.3183,44700,23000,0.7353123707,14370,1
Indiana University-Northwest,IN,public,450,455,440,20,19,20,7,4370,0.3804,36200,27000,0.3218390805,8951,0
Indiana University-Southeast,IN,public,480,470,460,21,20,20,7,5476,0.3936,34000,22500,0.4752143123,10970,0
Indiana University-East,IN,public,460,470,440,21,19,20,7,3200,0.3786,30000,21172,0.3881278539,9015,0
Indiana Wesleyan University-Marion,IN,private,530,525,510,24,25,23,8,10218,0.7019,46300,24160,0.5477806789,24965,0
