Generation,Vial,Diet,DietHistory,Mass,WingLength,LarvalTime,PupalTime
F2,2b,poor,RRP,0.9,1.911,5.5,5
F2,1,poor,PPP,1.1,1.912,7.5,4
F2,8,poor,PSP,1.3,1.912,7.5,4
F2,6,poor,RPP,1.2,1.913,4.5,4
F2,9,poor,RPP,1.2,1.913,5.5,4
F2,5,poor,RPP,1.3,1.914,6.5,2
F2,9,poor,PRP,1.4,1.915,7.5,4
F2,5,poor,RPP,1.6,1.915,4.5,4
F2,2,standard,RRS,1.6,1.915,5.5,4
F2,9,poor,RPP,1.4,1.916,7.5,4
F2,3,standard,PSS,1.4,1.916,5.5,5
F2,3,poor,PPP,1.4,1.916,6.5,5
F2,3,poor,RPP,1,1.917,6.5,4
F2,7,poor,PRP,1.2,1.918,5.5,5
F2,5,poor,PPP,1.1,1.918,6.5,5
F2,9,poor,PRP,1.1,1.918,7.5,3
F2,6,poor,RPP,1.2,1.918,6.5,2
F2,4,poor,RPP,1.3,1.92,4.5,4
F2,5,poor,PPP,1.1,1.921,6.5,4
F2,5,standard,SSS,1.2,1.922,5.5,4
F2,6,poor,PPP,1.2,1.923,6.5,4
F2,7,poor,RPP,1.1,1.923,6.5,2
F2,9,poor,RPP,1.1,1.924,6.5,4
F2,2,poor,RPP,1.2,1.924,5.5,4
F2,6,poor,PPP,1.2,1.924,6.5,5
F2,7,poor,RRP,1.2,1.924,6.5,4
F2,6,poor,PPP,1.2,1.926,6.5,4
F2,7,poor,PPP,1.3,1.926,6.5,5
F2,2,poor,RPP,1.3,1.927,7.5,4
F2,5,standard,PPS,1.4,1.927,5.5,5
F2,6,poor,RPP,1,1.928,6.5,2
F2,8,poor,PPP,1.2,1.93,6.5,4
F2,4,poor,RPP,1.2,1.931,5.6,4
F2,5,poor,PPP,1.3,1.931,7.5,4
F2,6,poor,PSP,1.4,1.931,6.5,5
F2,5,poor,RPP,1.4,1.932,6.5,3
F2,9,poor,RRP,1.2,1.935,4.5,3
F2,4,poor,PRP,1.2,1.935,6.5,4
F2,8,poor,PPP,1.2,1.936,6.5,4
F2,7,poor,PSP,1.3,1.936,5.5,5
F2,8,poor,RPP,1.1,1.936,6.5,4
F2,3,poor,PRP,1.2,1.937,7.5,5
F2,6,poor,PRP,1.3,1.937,6.5,4
F2,1,poor,RPP,1.2,1.937,6.5,4
F2,5,standard,RSS,1.3,1.937,5.5,4
F2,8,standard,RSS,1.4,1.938,5.5,4
F2,7,poor,RRP,1.1,1.938,5.5,3
F2,2,rich,PPR,1.7,1.94,4.5,4
F2,6,poor,PRP,1.4,1.94,5.5,5
F2,1,poor,PPP,1.4,1.941,6.5,4
F2,2,poor,PPP,1.5,1.941,6.5,5
F2,2,poor,PRP,1.2,1.941,5.5,4
F2,5,standard,PPS,1.8,1.941,5.5,5
F2,8,standard,RRS,1.4,1.943,5.5,3
F2,8,poor,PSP,1.3,1.944,4.5,4
F2,7,poor,PSP,1.2,1.944,5.5,5
